v_upper,v_lower,FCF,overlap,r_centroid_A,transition_moment_integral,vibronic_strength
1,0,3.239829483079e-08,-1.799952633566e-04,2.82005213,-1.799952633566e-04,3.239829483079e-08
1,1,7.282520866001e-07,-8.533768725482e-04,2.83063547,-8.533768725482e-04,7.282520866001e-07
1,2,7.917243417096e-06,-2.813759658730e-03,2.84140254,-2.813759658730e-03,7.917243417096e-06
1,3,5.546096808725e-05,-7.447212101669e-03,2.85234784,-7.447212101669e-03,5.546096808725e-05
1,4,2.813229839417e-04,-1.677268565083e-02,2.86346598,-1.677268565083e-02,2.813229839417e-04
1,5,1.100599728569e-03,-3.317528791992e-02,2.87475171,-3.317528791992e-02,1.100599728569e-03
1,6,3.452637613977e-03,-5.875914919378e-02,2.88620002,-5.875914919378e-02,3.452637613977e-03
1,7,8.909973233363e-03,-9.439265455195e-02,2.89780614,-9.439265455195e-02,8.909973233363e-03
1,8,1.924071406096e-02,-1.387109010170e-01,2.90956551,-1.387109010170e-01,1.924071406096e-02
1,9,3.514641073959e-02,-1.874737601361e-01,2.92147357,-1.874737601361e-01,3.514641073959e-02
2,0,2.213475501454e-07,4.704758762629e-04,2.81395147,4.704758762629e-04,2.213475501454e-07
2,1,4.544229018160e-06,2.131719732554e-03,2.82437958,2.131719732554e-03,4.544229018160e-06
2,2,4.471409208538e-05,6.686859657969e-03,2.83499103,6.686859657969e-03,4.471409208538e-05
2,3,2.805177514817e-04,1.674866417007e-02,2.84577994,1.674866417007e-02,2.805177514817e-04
2,4,1.258473797660e-03,3.547497424467e-02,2.85674032,3.547497424467e-02,1.258473797660e-03
2,5,4.289176314244e-03,6.549180341267e-02,2.86786602,6.549180341267e-02,4.289176314244e-03
2,6,1.150534885011e-02,1.072629891906e-01,2.87915067,1.072629891906e-01,1.150534885011e-02
2,7,2.479314118265e-02,1.574583792075e-01,2.89058741,1.574583792075e-01,2.479314118265e-02
2,8,4.333049339811e-02,2.081597785311e-01,2.90216821,2.081597785311e-01,4.333049339811e-02
2,9,6.133717010448e-02,2.476634210062e-01,2.91388233,2.476634210062e-01,6.133717010448e-02
3,0,1.040689597095e-06,-1.020141949483e-03,2.80800635,-1.020141949483e-03,1.040689597095e-06
3,1,1.949019508597e-05,-4.414770105676e-03,2.81828057,-4.414770105676e-03,1.949019508597e-05
3,2,1.731878705516e-04,-1.316008626688e-02,2.82873744,-1.316008626688e-02,1.731878705516e-04
3,3,9.693472191334e-04,-3.113434147583e-02,2.83937059,-3.113434147583e-02,9.693472191334e-04
3,4,3.822412496994e-03,-6.182566212337e-02,2.85017315,-6.182566212337e-02,3.822412496994e-03
3,5,1.123731088178e-02,-1.060061832243e-01,2.86113755,-1.060061832243e-01,1.123731088178e-02
3,6,2.536583969913e-02,-1.592665680522e-01,2.87225499,-1.592665680522e-01,2.536583969913e-02
3,7,4.445568841231e-02,-2.108451764028e-01,2.88351416,-2.108451764028e-01,4.445568841231e-02
3,8,6.007698356893e-02,-2.451060659570e-01,2.89489791,-2.451060659570e-01,6.007698356893e-02
3,9,6.053319392459e-02,-2.460349445193e-01,2.90637346,-2.460349445193e-01,6.053319392459e-02
4,0,3.787681361589e-06,1.946196640011e-03,2.80221511,1.946196640011e-03,3.787681361589e-06
4,1,6.463110160086e-05,8.039347087971e-03,2.81233673,8.039347087971e-03,6.463110160086e-05
4,2,5.173709796852e-04,2.274579037284e-02,2.82263991,2.274579037284e-02,5.173709796852e-04
4,3,2.572395085498e-03,5.071878434562e-02,2.83311756,5.071878434562e-02,2.572395085498e-03
4,4,8.850831784706e-03,9.407885939310e-02,2.84376148,9.407885939310e-02,8.850831784706e-03
4,5,2.216659968480e-02,1.488845179487e-01,2.85456167,1.488845179487e-01,2.216659968480e-02
4,6,4.120484432767e-02,2.029897640958e-01,2.86550456,2.029897640958e-01,4.120484432767e-02
4,7,5.644223185528e-02,2.375757391976e-01,2.87656825,2.375757391976e-01,5.644223185528e-02
4,8,5.440911064421e-02,2.332576057586e-01,2.88770687,2.332576057586e-01,5.440911064421e-02
4,9,3.206649946967e-02,1.790712134031e-01,2.89877931,1.790712134031e-01,3.206649946967e-02
5,0,1.138178158899e-05,-3.373689610647e-03,2.79657605,-3.373689610647e-03,1.138178158899e-05
5,1,1.767232976916e-04,-1.329373151871e-02,2.80654630,-1.329373151871e-02,1.767232976916e-04
5,2,1.271044684052e-03,-3.565171362013e-02,2.81669651,-3.565171362013e-02,1.271044684052e-03
5,3,5.586458633001e-03,-7.474261590954e-02,2.82701847,-7.474261590954e-02,5.586458633001e-03
5,4,1.662426520266e-02,-1.289351201289e-01,2.83750188,-1.289351201289e-01,1.662426520266e-02
5,5,3.490458626676e-02,-1.868276913810e-01,2.84813239,-1.868276913810e-01,3.490458626676e-02
5,6,5.181100630658e-02,-2.276203117180e-01,2.85888636,-2.276203117180e-01,5.181100630658e-02
5,7,5.193436363730e-02,-2.278911223310e-01,2.86971319,-2.278911223310e-01,5.193436363730e-02
5,8,3.001695751511e-02,-1.732540259709e-01,2.88045000,-1.732540259709e-01,3.001695751511e-02
5,9,4.802685272788e-03,-6.930140888025e-02,2.88981981,-6.930140888025e-02,4.802685272788e-03
6,0,2.941046986589e-05,5.423142065803e-03,2.79108740,5.423142065803e-03,2.941046986589e-05
6,1,4.149733822238e-04,2.037089546937e-02,2.80090748,2.037089546937e-02,4.149733822238e-04
6,2,2.673819160246e-03,5.170898529507e-02,2.81090521,5.170898529507e-02,2.673819160246e-03
6,3,1.032985506683e-02,1.016358945788e-01,2.82107075,1.016358945788e-01,1.032985506683e-02
6,4,2.630124735434e-02,1.621765931149e-01,2.83139031,1.621765931149e-01,2.630124735434e-02
6,5,4.531644514922e-02,2.128765960580e-01,2.84184140,2.128765960580e-01,4.531644514922e-02
6,6,5.125495372982e-02,2.263955691479e-01,2.85237724,2.263955691479e-01,5.125495372982e-02
6,7,3.313917903030e-02,1.820416958565e-01,2.86285449,1.820416958565e-01,3.313917903030e-02
6,8,6.553446054045e-03,8.095335727470e-02,2.87228051,8.095335727470e-02,6.553446054045e-03
6,9,2.218134826680e-03,-4.709707874890e-02,2.89037107,-4.709707874890e-02,2.218134826680e-03
7,0,6.720731580517e-05,-8.198006819049e-03,2.78574733,-8.198006819049e-03,6.720731580517e-05
7,1,8.605260143336e-04,-2.933472369622e-02,2.79541839,-2.933472369622e-02,8.605260143336e-04
7,2,4.951454978081e-03,-7.036657571660e-02,2.80526392,-7.036657571660e-02,4.951454978081e-03
7,3,1.670437506439e-02,-1.292454063570e-01,2.81527159,-1.292454063570e-01,1.670437506439e-02
7,4,3.590366318034e-02,-1.894826197316e-01,2.82542176,-1.894826197316e-01,3.590366318034e-02
7,5,4.927545407524e-02,-2.219807515873e-01,2.83567597,-2.219807515873e-01,4.927545407524e-02
7,6,3.926110670937e-02,-1.981441563846e-01,2.84592826,-1.981441563846e-01,3.926110670937e-02
7,7,1.196292945143e-02,-1.093751774921e-01,2.85561753,-1.093751774921e-01,1.196292945143e-02
7,8,3.836157512732e-04,1.958611118301e-02,2.87913408,1.958611118301e-02,3.836157512732e-04
7,9,1.843031970979e-02,1.357583135936e-01,2.88059613,1.357583135936e-01,1.843031970979e-02
8,0,1.386228570584e-04,1.177382083516e-02,2.78055396,1.177382083516e-02,1.386228570584e-04
8,1,1.608344577149e-03,4.010417156792e-02,2.79007709,4.010417156792e-02,1.608344577149e-03
8,2,8.235133749552e-03,9.074763770783e-02,2.79977044,9.074763770783e-02,8.235133749552e-03
8,3,2.407416621619e-02,1.551585196378e-01,2.80961782,1.551585196378e-01,2.407416621619e-02
8,4,4.293307325987e-02,2.072029759918e-01,2.81958963,2.072029759918e-01,4.293307325987e-02
8,5,4.492018944686e-02,2.119438355953e-01,2.82961420,2.119438355953e-01,4.492018944686e-02
8,6,2.164319786950e-02,1.471162732994e-01,2.83940536,1.471162732994e-01,2.164319786950e-02
8,7,6.166300440282e-04,2.483203664680e-02,2.84261449,2.483203664680e-02,6.166300440282e-04
8,8,1.092847658637e-02,-1.045393542470e-01,2.86380704,-1.045393542470e-01,1.092847658637e-02
8,9,3.080648662271e-02,-1.755177672565e-01,2.87341551,-1.755177672565e-01,3.080648662271e-02
9,0,2.621291087223e-04,-1.619040174678e-02,2.77550533,-1.619040174678e-02,2.621291087223e-04
9,1,2.751660590521e-03,-5.245627312840e-02,2.78488162,-5.245627312840e-02,2.751660590521e-03
9,2,1.248829648347e-02,-1.117510469010e-01,2.79442245,-1.117510469010e-01,1.248829648347e-02
9,3,3.134537328596e-02,-1.770462461787e-01,2.80410581,-1.770462461787e-01,3.134537328596e-02
9,4,4.533593765074e-02,-2.129223747067e-01,2.81388460,-2.129223747067e-01,4.533593765074e-02
9,5,3.371723983670e-02,-1.836225471904e-01,2.82361224,-1.836225471904e-01,3.371723983670e-02
9,6,6.642529965629e-03,-8.150171756244e-02,2.83222545,-8.150171756244e-02,6.642529965629e-03
9,7,3.077303749792e-03,5.547345085527e-02,2.84900114,5.547345085527e-02,3.077303749792e-03
9,8,2.462519533965e-02,1.569241706674e-01,2.85669714,1.569241706674e-01,2.462519533965e-02
9,9,2.643101433885e-02,1.625761801091e-01,2.86652496,1.625761801091e-01,2.643101433885e-02
10,0,4.600078536329e-04,2.144779367751e-02,2.77059948,2.144779367751e-02,4.600078536329e-04
10,1,4.362015833320e-03,6.604555877059e-02,2.77982992,6.604555877059e-02,4.362015833320e-03
10,2,1.747044446555e-02,1.321758089272e-01,2.78921751,1.321758089272e-01,1.747044446555e-02
10,3,3.723337063587e-02,1.929595051711e-01,2.79873123,1.929595051711e-01,3.723337063587e-02
10,4,4.232720312109e-02,2.057357604334e-01,2.80829233,2.057357604334e-01,4.232720312109e-02
10,5,1.973447201740e-02,1.404794362795e-01,2.81756184,1.404794362795e-01,1.973447201740e-02
10,6,1.278024342113e-04,1.130497387044e-02,2.80973719,1.130497387044e-02,1.278024342113e-04
10,7,1.394800134723e-02,-1.181016568353e-01,2.84088664,-1.181016568353e-01,1.394800134723e-02
10,8,2.882444670509e-02,-1.697776390020e-01,2.85015855,-1.697776390020e-01,2.882444670509e-02
10,9,1.167640162463e-02,-1.080573996755e-01,2.85934480,-1.080573996755e-01,1.167640162463e-02
11,0,7.565820308184e-04,-2.750603626149e-02,2.76583435,-2.750603626149e-02,7.565820308184e-04
11,1,6.469833748780e-03,-8.043527676822e-02,2.77491991,-8.043527676822e-02,6.469833748780e-03
11,2,2.275459492213e-02,-1.508462625395e-01,2.78415300,-1.508462625395e-01,2.275459492213e-02
11,3,4.061670647017e-02,-2.015358689419e-01,2.79348872,-2.015358689419e-01,4.061670647017e-02
11,4,3.468384912367e-02,-1.862360038330e-01,2.80278822,-1.862360038330e-01,3.468384912367e-02
11,5,7.695001321082e-03,-8.772115663329e-02,2.81108499,-8.772115663329e-02,7.695001321082e-03
11,6,2.890719942881e-03,5.376541586263e-02,2.82742220,5.376541586263e-02,2.890719942881e-03
11,7,2.392790686798e-02,1.546864792669e-01,2.83447598,1.546864792669e-01,2.392790686798e-02
11,8,2.128826425280e-02,1.459049836462e-01,2.84371821,1.459049836462e-01,2.128826425280e-02
11,9,1.005350824722e-03,3.170726769563e-02,2.84778559,3.170726769563e-02,1.005350824722e-03
12,0,1.175689049892e-03,3.428832235459e-02,2.76120787,3.428832235459e-02,1.175689049892e-03
12,1,9.050656098281e-03,9.513493626571e-02,2.77014944,9.513493626571e-02,9.050656098281e-03
12,2,2.779569168397e-02,1.667203997235e-01,2.77922613,1.667203997235e-01,2.779569168397e-02
12,3,4.084445324763e-02,2.021001069956e-01,2.78837128,2.021001069956e-01,4.084445324763e-02
12,4,2.442154130592e-02,1.562739303464e-01,2.79732395,1.562739303464e-01,2.442154130592e-02
12,5,9.788321649746e-04,3.128629356403e-02,2.80114721,3.128629356403e-02,9.788321649746e-04
12,6,1.122023890535e-02,-1.059256291242e-01,2.81982855,-1.059256291242e-01,1.122023890535e-02
12,7,2.646142276711e-02,-1.626696737782e-01,2.82844180,-1.626696737782e-01,2.646142276711e-02
12,8,9.070518173498e-03,-9.523926802269e-02,2.83689205,-9.523926802269e-02,9.070518173498e-03
12,9,2.040834958756e-03,4.517560136574e-02,2.85459066,4.517560136574e-02,2.040834958756e-03
13,0,1.737787383598e-03,-4.168677708336e-02,2.75671793,-4.168677708336e-02,1.737787383598e-03
13,1,1.202068889573e-02,-1.096389022917e-01,2.76551632,-1.096389022917e-01,1.202068889573e-02
13,2,3.203027295809e-02,-1.789700336875e-01,2.77443382,-1.789700336875e-01,3.203027295809e-02
13,3,3.789407781683e-02,-1.946640126393e-01,2.78336921,-1.946640126393e-01,3.789407781683e-02
13,4,1.406096839578e-02,-1.185789542700e-01,2.79178488,-1.185789542700e-01,1.406096839578e-02
13,5,5.332903852172e-04,2.309308089487e-02,2.81255270,2.309308089487e-02,5.332903852172e-04
13,6,1.966851430730e-02,1.402444804878e-01,2.81382632,1.402444804878e-01,1.966851430730e-02
13,7,2.092391379842e-02,1.446510069043e-01,2.82251470,1.446510069043e-01,2.092391379842e-02
13,8,9.726820722626e-04,3.118785135694e-02,2.82591849,3.118785135694e-02,9.726820722626e-04
13,9,1.109048565145e-02,-1.053113747487e-01,2.84561216,-1.053113747487e-01,1.109048565145e-02
14,0,2.457178799813e-03,4.956993846893e-02,2.75236238,4.956993846893e-02,2.457178799813e-03
14,1,1.524279815020e-02,1.234617274713e-01,2.76101829,1.234617274713e-01,1.524279815020e-02
14,2,3.497952665490e-02,1.870281440182e-01,2.76977272,1.870281440182e-01,3.497952665490e-02
14,3,3.234455186954e-02,1.798459114618e-01,2.77846798,1.798459114618e-01,3.234455186954e-02
14,4,5.826351613337e-03,7.633054181215e-02,2.78580341,7.633054181215e-02,5.826351613337e-03
14,5,4.985665855444e-03,-7.060924766236e-02,2.80097639,-7.060924766236e-02,4.985665855444e-03
14,6,2.398490653861e-02,-1.548706122498e-01,2.80824262,-1.548706122498e-01,2.398490653861e-02
14,7,1.142372443150e-02,-1.068818246078e-01,2.81642192,-1.068818246078e-01,1.142372443150e-02
14,8,1.078771026198e-03,3.284464988698e-02,2.83546071,3.284464988698e-02,1.078771026198e-03
14,9,1.917512620017e-02,1.384742799229e-01,2.83916998,1.384742799229e-01,1.917512620017e-02
15,0,3.339802068543e-03,-5.779102065670e-02,2.74813905,-5.779102065670e-02,3.339802068543e-03
15,1,1.854151410295e-02,-1.361672284471e-01,2.75665307,-1.361672284471e-01,1.854151410295e-02
15,2,3.632998914142e-02,-1.906042736704e-01,2.76523901,-1.906042736704e-01,3.632998914142e-02
15,3,2.519753999093e-02,-1.587373301745e-01,2.77364384,-1.587373301745e-01,2.519753999093e-02
15,4,1.072878729380e-03,-3.275482757365e-02,2.77712587,-3.275482757365e-02,1.072878729380e-03
15,5,1.162353301236e-02,1.078124900573e-01,2.79488245,1.078124900573e-01,1.162353301236e-02
15,6,2.271175085501e-02,1.507041832698e-01,2.80284461,1.507041832698e-01,2.271175085501e-02
15,7,3.301268430745e-03,5.745666567723e-02,2.80914868,5.745666567723e-02,3.301268430745e-03
15,8,7.397927027052e-03,-8.601120291597e-02,2.82542558,-8.601120291597e-02,7.397927027052e-03
15,9,2.016944667755e-02,-1.420191771472e-01,2.83317409,-1.420191771472e-01,2.016944667755e-02
16,0,4.381930482581e-03,6.619615156926e-02,2.74404573,6.619615156926e-02,4.381930482581e-03
16,1,2.172372186783e-02,1.473896938996e-01,2.75241833,1.473896938996e-01,2.172372186783e-02
16,2,3.597574577132e-02,1.896727333365e-01,2.76082828,1.896727333365e-01,3.597574577132e-02
16,3,1.762118206133e-02,1.327448005058e-01,2.76885325,1.327448005058e-01,1.762118206133e-02
16,4,8.470804134911e-05,-9.203697156530e-03,2.80334510,-9.203697156530e-03,8.470804134911e-05
16,5,1.762674317903e-02,-1.327657455032e-01,2.78958454,-1.327657455032e-01,1.762674317903e-02
16,6,1.708829675449e-02,-1.307222121695e-01,2.79750069,-1.307222121695e-01,1.708829675449e-02
16,7,2.155717487174e-05,-4.642970479310e-03,2.75563281,-4.642970479310e-03,2.155717487174e-05
16,8,1.473356428907e-02,1.213818944039e-01,2.81921368,1.213818944039e-01,1.473356428907e-02
16,9,1.429786140992e-02,1.195736652023e-01,2.82722337,1.195736652023e-01,1.429786140992e-02
17,0,5.569928177960e-03,-7.463195145485e-02,2.74008022,-7.463195145485e-02,5.569928177960e-03
17,1,2.460092724652e-02,-1.568468273397e-01,2.74831168,-1.568468273397e-01,2.460092724652e-02
17,2,3.401829366791e-02,-1.844404881470e-01,2.75653527,-1.844404881470e-01,3.401829366791e-02
17,3,1.069792604614e-02,-1.034307790077e-01,2.76400364,-1.034307790077e-01,1.069792604614e-02
17,4,2.219426371040e-03,4.711078826596e-02,2.77938661,4.711078826596e-02,2.219426371040e-03
17,5,2.101646899445e-02,1.449705797548e-01,2.78461180,1.449705797548e-01,2.101646899445e-02
17,6,9.833796807767e-03,9.916550210515e-02,2.79200995,9.916550210515e-02,9.833796807767e-03
17,7,1.969906218857e-03,-4.438362557134e-02,2.80874419,-4.438362557134e-02,1.969906218857e-03
17,8,1.854991587915e-02,-1.361980759011e-01,2.81363791,-1.361980759011e-01,1.854991587915e-02
17,9,6.207068948635e-03,-7.878495382137e-02,2.82077449,-7.878495382137e-02,6.207068948635e-03
18,0,6.881037103649e-03,8.295201687511e-02,2.73624030,8.295201687511e-02,6.881037103649e-03
18,1,2.700926670932e-02,1.643449625310e-01,2.74433069,1.643449625310e-01,2.700926670932e-02
18,2,3.073086116087e-02,1.753021995323e-01,2.75235345,1.753021995323e-01,3.073086116087e-02
18,3,5.237611888022e-03,7.237134714804e-02,2.75884999,7.237134714804e-02,5.237611888022e-03
18,4,6.267565221929e-03,-7.916795577713e-02,2.77304716,-7.916795577713e-02,6.267565221929e-03
18,5,2.106443804798e-02,-1.451359295556e-01,2.77982538,-1.451359295556e-01,2.106443804798e-02
18,6,3.691000848924e-03,-6.075360770295e-02,2.78572636,-6.075360770295e-02,3.691000848924e-03
18,7,7.106190260726e-03,8.429822216824e-02,2.80124187,8.429822216824e-02,7.106190260726e-03
18,8,1.724403566281e-02,1.313165475590e-01,2.80828080,1.313165475590e-01,1.724403566281e-02
18,9,8.361001864385e-04,2.891539704791e-02,2.81007436,2.891539704791e-02,8.361001864385e-04
19,0,8.285016437970e-03,-9.102206566525e-02,2.73252373,-9.102206566525e-02,8.285016437970e-03
19,1,2.882446950300e-02,-1.697777061425e-01,2.74047290,-1.697777061425e-01,2.882446950300e-02
19,2,2.650038077220e-02,-1.627893754893e-01,2.74827428,-1.627893754893e-01,2.650038077220e-02
19,3,1.684404817495e-03,-4.104150116035e-02,2.75243870,-4.104150116035e-02,1.684404817495e-03
19,4,1.086731930814e-02,1.042464354697e-01,2.76805408,1.042464354697e-01,1.086731930814e-02
19,5,1.818802358065e-02,1.348629807644e-01,2.77515004,1.348629807644e-01,1.818802358065e-02
19,6,4.014581400388e-04,2.003642033994e-02,2.77298596,2.003642033994e-02,4.014581400388e-04
19,7,1.252303275587e-02,-1.119063570842e-01,2.79572452,-1.119063570842e-01,1.252303275587e-02
19,8,1.214435974851e-02,-1.102014507550e-01,2.80292787,-1.102014507550e-01,1.214435974851e-02
19,9,4.481768525643e-04,2.117018782544e-02,2.82578270,2.117018782544e-02,4.481768525643e-04
20,0,9.746361583818e-03,9.872366273502e-02,2.72892828,9.872366273502e-02,9.746361583818e-03
20,1,2.997035522621e-02,1.731194825148e-01,2.73673579,1.731194825148e-01,2.997035522621e-02
20,2,2.176196751024e-02,1.475193801175e-01,2.74428602,1.475193801175e-01,2.176196751024e-02
20,3,1.151900977000e-04,1.073266498592e-02,2.73352941,1.073266498592e-02,1.151900977000e-04
20,4,1.484732560805e-02,-1.218496024124e-01,2.76353250,-1.218496024124e-01,1.484732560805e-02
20,5,1.352777997793e-02,-1.163089849407e-01,2.77050962,-1.163089849407e-01,1.352777997793e-02
20,6,3.635028845729e-04,1.906575161311e-02,2.79352157,1.906575161311e-02,3.635028845729e-04
20,7,1.588765496421e-02,1.260462413728e-01,2.79074008,1.260462413728e-01,1.588765496421e-02
20,8,6.050420746157e-03,7.778445054223e-02,2.79720813,7.778445054223e-02,6.050420746157e-03
20,9,4.142304385279e-03,-6.436073636371e-02,2.81288055,-6.436073636371e-02,4.142304385279e-03
21,0,1.122679567181e-02,-1.059565744624e-01,2.72545173,-1.059565744624e-01,1.122679567181e-02
21,1,3.042077843349e-02,-1.744155338079e-01,2.73311678,-1.744155338079e-01,3.042077843349e-02
21,2,1.693864487023e-02,-1.301485492437e-01,2.74037139,-1.301485492437e-01,1.693864487023e-02
21,3,3.061723353115e-04,1.749778086820e-02,2.76222106,1.749778086820e-02,3.061723353115e-04
21,4,1.743104517563e-02,1.320266835743e-01,2.75927221,1.320266835743e-01,1.743104517563e-02
21,5,8.441234729035e-03,9.187619239517e-02,2.76577259,9.187619239517e-02,8.441234729035e-03
